time,_geo,geo,value,UNIT,_UNIT,EGROUP,_EGROUP,POSITION,_POSITION,sex,_sex
2017,DK,Denmark,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,DK,Denmark,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,DK,Denmark,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,DK,Denmark,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,DK,Denmark,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,DK,Denmark,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,DK,Denmark,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,DK,Denmark,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,DK,Denmark,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,DK,Denmark,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,DK,Denmark,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,DK,Denmark,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,EEA,EEA countries (non-EU),4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,EEA,EEA countries (non-EU),4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,EEA,EEA countries (non-EU),3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,EEA,EEA countries (non-EU),3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,EEA,EEA countries (non-EU),1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,EEA,EEA countries (non-EU),1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,EEA,EEA countries (non-EU),0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,EEA,EEA countries (non-EU),0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,EE,Estonia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,EE,Estonia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,EE,Estonia,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,EE,Estonia,15,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,EE,Estonia,17,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,EE,Estonia,10,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,EE,Estonia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,EE,Estonia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,EE,Estonia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,EE,Estonia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,EE,Estonia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,EE,Estonia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,EL,Greece,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,EL,Greece,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,EL,Greece,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,EL,Greece,9,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,EL,Greece,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,EL,Greece,7,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,EL,Greece,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,EL,Greece,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,EL,Greece,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,EL,Greece,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,EL,Greece,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,EL,Greece,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,ES,Spain,10,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,ES,Spain,11,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,ES,Spain,14,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,ES,Spain,75,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,ES,Spain,77,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,ES,Spain,75,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,ES,Spain,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,ES,Spain,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,ES,Spain,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,ES,Spain,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,ES,Spain,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,ES,Spain,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,EU27_2020,European Union - 27 countries (from 2020),120,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,EU27_2020,European Union - 27 countries (from 2020),137,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,EU27_2020,European Union - 27 countries (from 2020),147,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,EU27_2020,European Union - 27 countries (from 2020),481,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,EU27_2020,European Union - 27 countries (from 2020),466,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,EU27_2020,European Union - 27 countries (from 2020),457,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,EU27_2020,European Union - 27 countries (from 2020),8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,EU27_2020,European Union - 27 countries (from 2020),8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,EU27_2020,European Union - 27 countries (from 2020),13,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,EU27_2020,European Union - 27 countries (from 2020),45,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,EU27_2020,European Union - 27 countries (from 2020),46,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,EU27_2020,European Union - 27 countries (from 2020),41,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,EU28,European Union - 28 countries (1993-2020),151,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,EU28,European Union - 28 countries (1993-2020),181,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,EU28,European Union - 28 countries (1993-2020),185,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,EU28,European Union - 28 countries (1993-2020),548,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,EU28,European Union - 28 countries (1993-2020),517,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,EU28,European Union - 28 countries (1993-2020),511,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,EU28,European Union - 28 countries (1993-2020),9,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,EU28,European Union - 28 countries (1993-2020),9,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,EU28,European Union - 28 countries (1993-2020),16,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,EU28,European Union - 28 countries (1993-2020),49,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,EU28,European Union - 28 countries (1993-2020),50,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,EU28,European Union - 28 countries (1993-2020),43,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,FI,Finland,11,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,FI,Finland,13,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,FI,Finland,12,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,FI,Finland,25,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,FI,Finland,23,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,FI,Finland,26,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,FI,Finland,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,FI,Finland,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,FI,Finland,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,FI,Finland,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,FI,Finland,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,FI,Finland,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,FR,France,7,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,FR,France,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,FR,France,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,FR,France,26,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,FR,France,30,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,FR,France,30,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,FR,France,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,FR,France,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,FR,France,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,FR,France,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,FR,France,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,FR,France,6,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,HR,Croatia,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,HR,Croatia,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,HR,Croatia,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,HR,Croatia,17,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,HR,Croatia,16,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,HR,Croatia,15,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,HR,Croatia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,HR,Croatia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,HR,Croatia,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,HR,Croatia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,HR,Croatia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,HR,Croatia,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,HU,Hungary,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,HU,Hungary,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,HU,Hungary,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,HU,Hungary,29,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,HU,Hungary,27,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,HU,Hungary,32,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,HU,Hungary,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,HU,Hungary,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,HU,Hungary,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,HU,Hungary,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,HU,Hungary,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,HU,Hungary,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,IE,Ireland,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,IE,Ireland,9,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
