HDI Rank,Country,Gender Inequality Index Value,Gender Inequality Index Rank,Maternal Mortality Ratio,Adolescent Birth Rate,Women Share of Seats in Parliament ,Female Population with Some Secondary Education,Male Population with Some Secondary Education, Female Labour Force Participation Rate,Male Labour Force Participation Rate
118.0,Kyrgyzstan,0.370,87,60,34.7,20.5,100.0,99.8,42.1,71.7
120.0,Venezuela (Bolivarian Republic of),0.492,123,125,82.7,22.2,79.8,75.4,34.3,67.8
121.0,Iraq,0.558,145,79,62.2,28.9,42.0,52.9,11.1,71.8
122.0,Tajikistan,0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5
123.0,Belize,0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8
123.0,Morocco,0.425,104,70,25.9,20.4,30.9,37.1,22.0,66.0
125.0,El Salvador,0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6
126.0,Nicaragua,0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3
127.0,Bhutan,0.415,98,183,19.0,16.7,23.6,32.3,51.6,67.4
128.0,Cabo Verde,0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7
129.0,Bangladesh,0.530,131,173,75.5,20.9,50.6,58.5,34.9,78.8
130.0,Tuvalu,..,..,..,33.1,6.3,60.0,60.7,..,..
131.0,Marshall Islands,..,..,..,58.0,6.1,91.6,92.5,..,..
132.0,India,0.490,122,133,17.2,13.4,41.8,53.8,19.2,70.1
133.0,Ghana,0.529,130,308,64.2,14.5,58.0,73.2,64.5,72.2
134.0,Micronesia (Federated States of),..,..,88,35.8,7.1,..,..,..,..
135.0,Guatemala,0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3
136.0,Kiribati,..,..,92,40.5,6.7,..,..,..,..
137.0,Honduras,0.431,107,65,72.0,27.3,35.8,44.8,42.3,78.9
138.0,Sao Tome and Principe,0.494,124,130,79.4,23.6,39.9,48.4,37.1,69.9
139.0,Namibia,0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2
140.0,Lao People's Democratic Republic,0.478,120,185,73.2,22.0,37.7,47.7,74.8,78.1
140.0,Timor-Leste,0.378,89,142,33.9,38.5,33.7,41.8,61.0,72.2
140.0,Vanuatu,..,..,72,64.1,0.0,..,..,59.7,78.0
143.0,Nepal,0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8
144.0,Eswatini (Kingdom of),0.540,138,437,69.9,18.4,34.0,36.2,45.6,53.6
145.0,Equatorial Guinea,..,..,301,139.7,20.3,..,..,49.9,58.5
146.0,Cambodia,0.461,116,160,45.5,19.8,18.3,31.7,74.0,85.9
146.0,Zimbabwe,0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9
148.0,Angola,0.537,136,241,138.4,29.5,28.2,51.5,74.0,79.1
149.0,Myanmar,0.498,125,250,33.0,15.0,38.5,47.8,41.0,70.0
150.0,Syrian Arab Republic,0.477,119,31,38.7,11.2,37.1,43.4,15.7,70.8
151.0,Cameroon,0.565,148,529,110.4,31.1,36.8,55.0,70.2,80.7
152.0,Kenya,0.506,128,342,64.2,23.2,31.1,37.7,71.0,75.6
153.0,Congo,0.564,147,378,103.6,13.6,48.0,52.0,65.1,67.6
154.0,Zambia,0.540,138,213,117.0,15.1,47.1,56.8,69.2,77.8
155.0,Solomon Islands,..,..,104,60.3,8.0,..,..,83.1,87.4
156.0,Comoros,..,..,273,58.2,16.7,..,..,32.1,54.5
156.0,Papua New Guinea,0.725,169,145,55.3,0.0,10.8,15.5,46.3,48.1
158.0,Mauritania,0.632,161,766,78.0,20.3,14.5,21.9,27.4,62.2
159.0,Côte d'Ivoire,0.613,155,617,105.0,15.6,23.9,32.2,45.9,64.9
160.0,Tanzania (United Republic of),0.560,146,524,123.7,36.9,13.0,19.1,79.5,87.1
161.0,Pakistan,0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1
162.0,Togo,0.580,149,396,77.9,18.7,13.9,42.3,55.5,59.4
163.0,Haiti,0.635,163,480,52.5,2.7,27.9,41.0,60.7,68.9
163.0,Nigeria,0.680,168,917,101.7,4.5,40.4,55.3,47.9,59.6
165.0,Rwanda,0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2
166.0,Benin,0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6
166.0,Uganda,0.530,131,375,107.9,33.8,29.3,36.3,64.2,71.3
168.0,Lesotho,0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3
169.0,Malawi,0.554,142,349,117.9,22.9,21.3,28.4,71.6,80.0
170.0,Senegal,0.530,131,315,66.5,43.0,11.1,30.9,33.5,56.7
171.0,Djibouti,..,..,248,22.7,26.2,..,..,17.2,44.1
172.0,Sudan,0.553,141,295,79.9,31.0,16.4,20.1,28.7,67.8
173.0,Madagascar,0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6
174.0,Gambia,0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3
175.0,Ethiopia,0.520,129,401,69.2,39.5,9.1,20.1,72.3,84.7
176.0,Eritrea,..,..,480,64.4,22.0,..,..,70.2,83.6
177.0,Guinea-Bissau,0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4
178.0,Liberia,0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7
179.0,Congo (Democratic Republic of the),0.601,151,473,109.0,14.3,40.3,69.1,61.2,69.1
180.0,Afghanistan,0.678,167,638,82.6,27.2,6.4,14.9,14.8,66.5
181.0,Sierra Leone,0.633,162,"1,120",100.9,12.3,34.7,51.5,56.1,55.9
182.0,Guinea,0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2
183.0,Yemen,0.820,170,164,54.4,0.3,22.4,37.5,6.0,67.6
184.0,Burkina Faso,0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7
185.0,Mozambique,0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9
186.0,Mali,0.613,155,562,150.1,27.3,8.0,15.5,57.7,79.7
187.0,Burundi,0.505,127,548,53.6,38.9,7.8,13.0,79.0,77.4
188.0,Central African Republic,0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5
189.0,Niger,0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3
190.0,Chad,0.652,165,"1,140",138.3,32.3,7.7,24.4,46.9,69.9
191.0,South Sudan,0.587,150,"1,150",99.2,32.3,26.5,36.4,70.4,73.6
Not known,Korea (Democratic People's Rep. of),..,..,89,2.3,17.6,..,..,77.2,86.1
Not known,Monaco,..,..,..,7.2,33.3,..,..,..,..
Not known,Nauru,..,..,..,72.5,10.5,..,..,..,..
Not known,Somalia,..,..,829,118.0,24.6,..,..,20.9,47.0
